round,validation_loss,validation_accuracy
1,10.854714678955078,0.0104
2,5.670212026977539,0.0124
3,6.182886359405518,0.008
4,5.653827558898926,0.0098
5,5.475497734069824,0.0128
6,5.307127132415771,0.0098
7,5.298394766998291,0.008
8,5.11319483795166,0.0108
9,5.017966809844971,0.0128
10,4.965988829040527,0.0196
11,5.035314503479004,0.0156
12,5.2191535690307616,0.0152
13,5.108210425567627,0.0142
14,5.007144994354248,0.0138
15,4.803167515563965,0.01
16,4.794609191894531,0.0198
17,4.8426037017822265,0.0166
18,4.728956548309326,0.0156
19,4.734066735839844,0.016
20,4.837540390777588,0.0144
21,4.821863276672364,0.0176
22,4.714900033569336,0.02
23,4.805621723175049,0.023
24,4.786812594604492,0.0152
25,4.697821231842041,0.0198
