round,validation_loss,validation_accuracy
1,20.958871453857423,0.013
2,12.244684555053711,0.0108
3,28.129109448242186,0.0098
4,42.48301495361328,0.0116
5,47.692869921875,0.013
6,50.54131099853516,0.01
7,48.4729392578125,0.0106
8,67.54990229492188,0.01
9,62.1803266418457,0.0096
10,54.30086892089844,0.01
11,61.293135522460936,0.0116
12,46.598300439453126,0.0098
13,66.0920708984375,0.0094
14,50.11354483642578,0.0106
15,37.48678161621094,0.0124
16,44.01499710693359,0.0094
17,60.22924641113281,0.0102
18,64.40656491699218,0.0102
19,40.67272666015625,0.01
20,46.780530798339846,0.0102
21,39.42033546142578,0.0098
22,34.80559924316406,0.0102
23,33.472563284301756,0.0126
24,32.24616962890625,0.0098
25,24.35191254272461,0.0102
26,22.569936810302735,0.0098
27,23.638440155029297,0.0094
28,21.98538577270508,0.009
29,44.04909029541015,0.0094
30,26.40381499938965,0.0122
31,35.64486848754883,0.0108
32,34.54742656555176,0.0096
33,38.53671417236328,0.0104
34,33.18461663513184,0.0074
35,25.994966165161134,0.0096
36,23.20482003326416,0.0118
37,20.680866610717775,0.0076
38,15.657209460449218,0.0102
39,20.51781537322998,0.0122
40,18.596515757751465,0.0096
41,17.238405578613282,0.0104
42,20.197978930664064,0.0124
43,22.474032720947264,0.0088
44,27.155349475097655,0.0106
45,26.97770243835449,0.0106
46,19.064919721984865,0.008
47,26.840311956787108,0.01
48,17.431768754577636,0.011
49,17.07685284576416,0.0098
50,25.430712432861327,0.0106
51,16.22262433166504,0.0092
52,11.920491149902343,0.0096
53,13.22725263519287,0.0076
54,9.343737223815918,0.01
55,7.8884250396728515,0.0084
56,18.80556771850586,0.0094
57,13.953513214111329,0.0076
58,10.141820707702637,0.009
59,9.78944984664917,0.0108
60,10.947649557495117,0.0116
61,14.199620465087891,0.0102
62,16.45105100402832,0.0096
63,10.199509249877929,0.01
64,25.29168604736328,0.0106
65,16.94188082733154,0.0112
66,16.103397482299805,0.0094
67,8.280118914794922,0.0118
68,10.082654550170899,0.0094
69,9.381052786254882,0.0096
70,11.36068236694336,0.0094
71,10.074564623260498,0.0092
72,9.60181198501587,0.0092
73,12.510959907531738,0.0094
74,15.588149533081054,0.008
75,13.203211849975586,0.01
76,12.27204707183838,0.0098
77,15.93934073638916,0.0096
78,13.666232908630372,0.0108
79,10.929528563690186,0.0112
80,16.54797951660156,0.0104
81,12.420645135498047,0.0106
82,11.944557263183594,0.0092
83,9.663484616088867,0.0098
84,7.972391730499267,0.0096
85,10.629447567749024,0.0086
86,12.545360238647461,0.0096
87,12.321349194335937,0.0076
88,10.631492749023437,0.0102
89,10.20599089050293,0.0104
90,9.34080403366089,0.0104
91,8.707628247070312,0.0108
92,11.229405447387695,0.01
93,12.487834783935547,0.0104
94,7.785340121459961,0.0108
95,8.3712845703125,0.01
96,6.762506042480469,0.0096
97,9.664274870300293,0.01
98,11.239451438903808,0.0092
99,10.806244590759277,0.0102
100,10.016781971740723,0.0094
