round,validation_loss,validation_accuracy
1,7.741992141723633,0.0126
2,9.649427668762208,0.01
3,9.997243880462646,0.0094
4,9.259402792358399,0.0092
5,8.938470013427734,0.0126
6,7.082832626342773,0.01
7,6.51881882019043,0.0094
8,7.4200078392028805,0.0112
9,6.2330037796020505,0.0154
10,5.441281669616699,0.0092
11,5.554299394226074,0.0104
12,5.901617993164063,0.0114
13,5.748133512878418,0.0142
14,5.432067635345459,0.0122
15,5.495738696289062,0.0104
16,5.284188774108887,0.012
17,5.071380031585694,0.0116
18,5.2077530418396,0.0092
19,5.003236639404297,0.0092
20,4.841087686157227,0.0074
21,4.796448394775391,0.0124
22,4.795485499572754,0.009
23,4.81372806930542,0.0082
24,4.864674383544922,0.013
25,4.821645259857178,0.0094
26,4.77858183670044,0.0078
27,4.716136133575439,0.011
28,4.701425402069092,0.0102
29,4.723304441833496,0.0098
30,4.743961161804199,0.0112
31,4.695346188354492,0.0096
32,4.725413925933838,0.01
33,4.704946601867676,0.0166
34,4.713725131988525,0.013
35,4.7105825256347655,0.01
36,4.690170838928223,0.0078
37,4.658152583312988,0.009
38,4.657589259338379,0.0116
39,4.6906746414184575,0.0074
40,4.677577734375,0.0134
41,4.64774008026123,0.0098
42,4.654911419677735,0.01
43,4.650944233703613,0.0138
44,4.660505261993408,0.0078
45,4.614483171081543,0.0102
46,4.614864405822754,0.008
47,4.611682624053955,0.0098
48,4.616901480102539,0.0142
49,4.6217322982788085,0.015
50,4.6167748794555665,0.0124
51,4.631676068115234,0.0148
52,4.621340649414062,0.0108
53,4.632964228057861,0.0118
54,4.629394885253906,0.0124
55,4.639617559814453,0.014
56,4.625238160705567,0.012
57,4.618777003479004,0.0126
58,4.621231869506836,0.0088
59,4.619750588226318,0.0168
60,4.619495268249512,0.0086
61,4.6213160919189455,0.0182
62,4.640332441711426,0.0146
63,4.629477458190918,0.011
64,4.641776498413086,0.0194
65,4.641608518981934,0.011
66,4.638598118591308,0.0084
67,4.646848635864258,0.0082
68,4.645277366638184,0.0122
69,4.6395453903198245,0.0134
70,4.640991857910156,0.01
71,4.644140969085694,0.0116
72,4.63223171081543,0.01
73,4.627624430847168,0.0092
74,4.637541488647461,0.0102
75,4.645614838409424,0.0118
76,4.637647338867188,0.0086
77,4.641156992340088,0.0126
78,4.618430155944824,0.0192
79,4.6213387008666995,0.0114
80,4.621915225219727,0.013
81,4.640530935668945,0.0098
82,4.628241388702393,0.0076
83,4.622818475341797,0.0174
84,4.620601567077637,0.015
85,4.616499423217774,0.0124
86,4.614529232788086,0.0076
87,4.6124393768310545,0.0126
88,4.612100900268555,0.0162
89,4.612995495605468,0.013
90,4.621536987304688,0.0158
91,4.627571835327148,0.0204
92,4.608092515563965,0.0174
93,4.613343391418457,0.0162
94,4.6006918594360355,0.0164
95,4.605070800018311,0.021
96,4.605963481140137,0.011
97,4.608225720977783,0.0124
98,4.611234263610839,0.0186
99,4.607726089477539,0.0174
100,4.615890533447265,0.0108
