round,validation_loss,validation_accuracy
1,31.633186810302735,0.017
2,11.257788743591309,0.0098
3,45.62099471435547,0.0094
4,44.587741235351565,0.0098
5,74.02562341308594,0.0096
6,66.4084183227539,0.0094
7,122.30405756835937,0.0116
8,63.56875203857422,0.0128
9,85.50588791503907,0.0108
10,80.93185548095703,0.0098
11,92.08793441162109,0.0088
12,146.099630859375,0.01
13,122.01946672363282,0.01
14,144.71043076171875,0.0106
15,110.44092012939453,0.0098
16,100.33596730957031,0.0086
17,85.10263901367188,0.0082
18,54.62059877929688,0.009
19,89.31770701904297,0.0094
20,107.85345780029297,0.0098
21,85.43469326171875,0.0098
22,55.96935333251953,0.0118
23,70.86210755615234,0.0088
24,64.80885131835937,0.0106
25,49.94015425415039,0.0076
26,44.97235260620117,0.0114
27,35.56173009643555,0.0084
28,34.856426733398436,0.0106
29,33.15730687866211,0.0102
30,31.036621633911132,0.0096
31,28.075460675048827,0.0104
32,23.229123486328124,0.0132
33,17.976298583984374,0.0098
34,20.00132212524414,0.0126
35,15.498215103149414,0.0118
36,14.427819187927247,0.0176
37,15.4302220703125,0.008
38,21.649599249267578,0.0104
39,27.89722495727539,0.0088
40,14.910102474975586,0.0068
41,13.895702380371095,0.0116
42,20.780065881347657,0.0082
43,20.0641728515625,0.0092
44,14.99772356262207,0.0078
45,18.093916744995116,0.0118
46,14.387097705078125,0.0102
47,10.657093589782715,0.01
48,9.804855017089844,0.0094
49,15.080801309204102,0.0114
50,9.181972439575196,0.01
51,8.296100971984863,0.008
52,14.863188305664062,0.0104
53,8.192024185180664,0.011
54,29.885602734375,0.009
55,24.874142193603515,0.017
56,11.428959085083008,0.0082
57,8.320021237182617,0.0132
58,19.78481657104492,0.009
59,16.846867037963868,0.01
60,10.701441290283203,0.0106
61,11.252578814697266,0.0094
62,17.768422824096678,0.011
63,25.08878948059082,0.0092
64,16.192963623046875,0.0128
65,20.75900569458008,0.0094
66,18.432238473510743,0.009
67,14.163666885375976,0.0092
68,14.184258203125,0.0096
69,13.536414273071289,0.0096
70,10.707819686889648,0.009
71,9.191791403198243,0.0096
72,14.441591975402831,0.0074
73,12.287887754821778,0.0094
74,11.445758895874024,0.0098
75,8.417978039550782,0.0108
76,8.389647903442382,0.0114
77,12.818101872253418,0.0098
78,9.42673680419922,0.0096
79,7.664887217712402,0.0076
80,28.232710806274415,0.0116
81,19.235344860839845,0.0096
82,16.69898556518555,0.0106
83,13.433834379577636,0.009
84,12.819971286010743,0.0104
85,11.416390567016602,0.0086
86,14.983052708435059,0.0108
87,13.499066519165039,0.01
88,10.18988494873047,0.0092
89,10.630945137023925,0.0092
90,10.186361628723144,0.0092
91,11.868584619140625,0.0106
92,11.419763552856445,0.01
93,11.234912231445312,0.0096
94,8.023866979980468,0.0126
95,7.6053368133544925,0.0082
96,9.682401770019531,0.0116
97,9.049764366149903,0.0116
98,9.12072338256836,0.0094
99,12.325010729980468,0.01
100,9.669504901123046,0.0096
