round,validation_loss,validation_accuracy
1,9.752978979492188,0.0104
2,19.511453936767577,0.0102
3,26.85858373413086,0.0086
4,17.63277356567383,0.0088
5,20.870178387451173,0.0106
6,18.81427052307129,0.01
7,13.99026925201416,0.0106
8,11.399528895568848,0.01
9,10.182267596435548,0.0112
10,10.348975637817382,0.0096
11,9.377466479492188,0.0104
12,10.728525997924805,0.011
13,9.21205140838623,0.0092
14,8.345306634521485,0.0122
15,8.75073109664917,0.009
16,8.537750337219238,0.0108
17,7.565626091003418,0.0108
18,7.372570050811768,0.0096
19,6.91347389755249,0.0098
20,6.943633354187011,0.0076
21,6.7484543273925786,0.0116
22,6.1642160232543945,0.0086
23,6.401702714538574,0.0118
24,6.152470118713379,0.01
25,5.997332495117187,0.0116
26,6.3327288253784175,0.0116
27,6.093139169311524,0.013
28,5.619183292388916,0.01
29,5.786320151519775,0.0088
30,5.660089406585693,0.0086
31,5.705494691467285,0.0106
32,5.941671495056152,0.01
33,5.769035287475586,0.0136
34,5.4353890769958495,0.0112
35,5.3747686050415036,0.0098
36,5.650454479980469,0.0108
37,5.389621187591553,0.0128
38,5.27904310836792,0.0102
39,5.402005210876465,0.0072
40,5.597021379089355,0.0108
41,5.633711874389649,0.0092
42,5.220053285217285,0.0104
43,5.462513790893555,0.012
44,5.53606141204834,0.0098
45,5.644589119720459,0.0094
46,5.475352388000489,0.0074
47,5.5029738220214846,0.0094
48,5.33285565032959,0.0094
49,5.438314643859863,0.0098
50,5.239958120727539,0.01
51,5.388056729888916,0.012
52,5.506251856994629,0.0108
53,5.354685199737549,0.0108
54,5.3987235206604005,0.0092
55,5.280405563354492,0.0086
56,5.407028987884521,0.0094
57,5.615952452850342,0.0114
58,5.512873617553711,0.0108
59,5.256432461547852,0.0122
60,5.29842391204834,0.01
61,5.274601112365723,0.0122
62,5.427914804077148,0.0106
63,5.132555054473877,0.009
64,5.184941124725341,0.0096
65,5.305735087585449,0.0084
66,5.228633306884766,0.0106
67,5.128086573791504,0.01
68,5.114219708251953,0.0108
69,5.009422615814209,0.011
70,4.998342834472656,0.0108
71,5.02577899017334,0.0102
72,5.195388814544677,0.0118
73,5.226871044921875,0.0094
74,5.214295544433594,0.0108
75,5.115592504119873,0.0094
76,5.214099210357666,0.0106
77,5.29313893737793,0.0092
78,5.020305947875976,0.0084
79,5.017249424743652,0.0098
80,5.157921797180176,0.0102
81,5.111005499267578,0.0124
82,5.307809135437012,0.0104
83,5.146039270782471,0.012
84,5.256084766387939,0.0102
85,5.2365266212463375,0.0092
86,5.302628493499756,0.009
87,5.400051066589356,0.0098
88,5.13051810836792,0.0108
89,5.131707872009278,0.0098
90,5.228447456359863,0.0098
91,5.196520224761963,0.0114
92,5.2086203125,0.0096
93,5.1316563621521,0.0104
94,5.149937722015381,0.01
95,5.136618027496338,0.0098
96,5.13191531829834,0.011
97,5.054455577850342,0.01
98,5.095287762451171,0.011
99,5.130026944732666,0.0102
100,5.192007584381104,0.0092
