round,validation_loss,validation_accuracy
1,21.37243043823242,0.0092
2,7.848922439575196,0.0112
3,6.188380522155762,0.0094
4,5.627718344116211,0.0112
5,5.63966393737793,0.0144
6,5.2077050926208495,0.0122
7,5.294869589233398,0.0096
8,5.1422838722229,0.0162
9,5.021509489440918,0.014
10,4.993936048126221,0.0122
11,4.858681228637695,0.016
12,5.0369403976440426,0.0186
13,4.9443613746643065,0.0132
14,4.872007578277588,0.0196
15,4.913167219543457,0.013
16,5.074108374023438,0.018
17,4.8402950424194335,0.02
18,4.931839225769043,0.0154
19,4.860533682250977,0.0192
20,4.855543105316162,0.0128
21,4.890811249542236,0.0164
22,4.8456898696899415,0.011
23,4.710910143280029,0.022
24,4.707354295349121,0.016
25,4.714135546875,0.017
