round,validation_loss,validation_accuracy
1,10.480162666320801,0.0094
2,16.17997995147705,0.0106
3,16.68665540161133,0.0096
4,22.03789976501465,0.0112
5,21.91612889404297,0.0108
6,13.634081213378906,0.0108
7,12.740602626037598,0.0076
8,16.710507733154298,0.013
9,17.063650759887697,0.0096
10,11.602439775085449,0.01
11,11.150143435668946,0.0098
12,10.18921159362793,0.012
13,9.6513099609375,0.01
14,8.497448243713379,0.0122
15,7.436033975219726,0.01
16,6.803282929992676,0.0106
17,6.540997424316406,0.0108
18,5.941187940216064,0.0102
19,5.472271528625488,0.0088
20,5.364585739898682,0.0096
21,5.74908694152832,0.0084
22,5.392465453338623,0.0094
23,5.6574610908508305,0.009
24,5.585257978820801,0.0086
25,5.450067730712891,0.0118
26,5.469679537963867,0.0076
27,5.218146190643311,0.0102
28,5.369682075500489,0.009
29,5.557673271179199,0.0114
30,5.2698594757080075,0.0116
31,5.326811160278321,0.0116
32,5.4466107528686525,0.008
33,5.175466545104981,0.0102
34,5.312662480926513,0.0106
35,5.242151515197754,0.0102
36,5.220387799072266,0.011
37,5.086629567718506,0.0098
38,5.151485395812989,0.008
39,5.2870474029541015,0.0122
40,5.194237329101562,0.0088
41,5.323993962097168,0.009
42,5.199710118103027,0.0098
43,5.52398949584961,0.01
44,5.346831764984131,0.008
45,5.483779803466797,0.01
46,5.246593550109863,0.01
47,5.215510087585449,0.0118
48,5.180834105682373,0.0102
49,5.186370861816406,0.0106
50,5.298089098358155,0.0106
51,5.112653411102295,0.01
52,5.311071720886231,0.0092
53,5.115397914123535,0.0096
54,5.133981259155274,0.0092
55,5.2058646125793455,0.01
56,5.265974417877198,0.0106
57,5.323095625305176,0.0108
58,5.159310131835937,0.0094
59,5.069093389129638,0.011
60,5.479955436706543,0.0102
61,5.30004563293457,0.0098
62,5.177161380004883,0.01
63,5.0102549758911135,0.0092
64,5.291875103759765,0.01
65,5.166602093505859,0.0088
66,5.098727847290039,0.0108
67,5.049703106689453,0.0076
68,5.2333792785644535,0.0154
69,5.048487295532227,0.0088
70,5.100844155883789,0.0098
71,5.046523207092285,0.0102
72,5.176143405151367,0.0102
73,5.141169546508789,0.0094
74,5.132463816833496,0.0122
75,5.200109173583984,0.012
76,4.973563188171386,0.0094
77,5.0985304039001464,0.0102
78,5.045613459014892,0.0106
79,4.914237915039062,0.0096
80,5.011083027648926,0.0106
81,5.124164122009278,0.0082
82,4.9520990280151365,0.0092
83,5.21690943145752,0.0128
84,5.061489033508301,0.0096
85,5.47052375793457,0.0108
86,5.0252185089111325,0.0092
87,5.097919316101074,0.0088
88,4.961690112304687,0.0116
89,5.155828584289551,0.0104
90,5.130895881652832,0.0094
91,5.109212100982666,0.01
92,5.113719596862793,0.0078
93,5.025485528564453,0.0102
94,4.997289668273925,0.0096
95,5.063480633544922,0.0112
96,5.059355288696289,0.0102
97,4.997569509887695,0.0104
98,4.897990782165527,0.0098
99,5.0068711624145505,0.011
100,4.95433291015625,0.0106
