round,validation_loss,validation_accuracy
1,8.09537951812744,0.0114
2,9.724953085327149,0.0094
3,9.007436444091796,0.0114
4,7.873698369598388,0.0136
5,7.266611989593506,0.0112
6,6.638654635620117,0.0112
7,6.569821813964844,0.011
8,5.839622231292725,0.0158
9,5.366467385101318,0.0106
10,4.986691951751709,0.0102
11,5.156143922042847,0.0136
12,5.277492449951172,0.0164
13,5.129726955413818,0.0124
14,5.029533321380615,0.0126
15,5.266569898986816,0.0152
16,4.9776525260925295,0.0148
17,4.821062873840332,0.024
18,4.839611250305175,0.0128
19,5.391531237030029,0.0184
20,4.945884640502929,0.0168
21,4.98108754196167,0.0112
22,4.751145503234863,0.0138
23,4.700204971313476,0.0126
24,4.654610810089111,0.0218
25,4.997397973632813,0.0218
26,4.842077722930908,0.0208
27,4.674106343078614,0.0198
28,4.665284700012207,0.023
29,4.619650396728516,0.0212
30,4.709137240600586,0.013
31,4.642272984313965,0.018
32,4.638005000305176,0.0218
33,4.634468370819092,0.0208
34,4.735976360321045,0.0166
35,4.684814588928223,0.0188
36,4.665883337402343,0.0248
37,4.746416055297852,0.0216
38,4.71231005859375,0.0224
39,4.662331381225586,0.0264
40,4.6235715118408205,0.0256
41,4.597375596618653,0.0286
42,4.614884169006348,0.0266
43,4.55751961517334,0.0342
44,4.538239669036865,0.0268
45,4.516083897399902,0.0314
46,4.579146298217774,0.0246
47,4.541635942077637,0.0316
48,4.5086330078125,0.0336
49,4.491091105651855,0.0368
50,4.499157864379883,0.0262
51,4.479464259338379,0.037
52,4.4726696334838865,0.0326
53,4.474777621459961,0.0376
54,4.53346185836792,0.0386
55,4.486150609588623,0.0292
56,4.4644253540039065,0.0324
57,4.436341324615478,0.0348
58,4.473687819671631,0.0378
59,4.434134951019287,0.0372
60,4.427010517883301,0.0366
61,4.423707563018799,0.0408
62,4.41493208770752,0.0446
63,4.424435433959961,0.0376
64,4.413136529541015,0.0424
65,4.412549435424805,0.0402
66,4.390730776977539,0.037
67,4.383301208496094,0.0414
68,4.370275482940674,0.0422
69,4.371689447021485,0.0442
70,4.357794706726074,0.0438
71,4.362925054168701,0.0426
72,4.362159886932373,0.0424
73,4.344153343200683,0.0386
74,4.3544845909118655,0.0386
75,4.338081687927246,0.0464
76,4.31469811630249,0.0426
77,4.316850040435791,0.039
78,4.30473420791626,0.0484
79,4.303364143371582,0.0456
80,4.297866007232666,0.0462
81,4.295251556396485,0.0458
82,4.284425987243653,0.0518
83,4.279331985855102,0.0488
84,4.271423001861573,0.0454
85,4.277250179290771,0.0444
86,4.276557196807861,0.0472
87,4.263176768493652,0.0468
88,4.259360906982422,0.049
89,4.262063240432739,0.051
90,4.26230482635498,0.05
91,4.250318474197388,0.052
92,4.255963357925415,0.048
93,4.239855237960816,0.0494
94,4.2495262279510495,0.0492
95,4.241494007873535,0.0596
96,4.2388367713928226,0.0542
97,4.240282760238648,0.0442
98,4.2397246810913085,0.0528
99,4.239219027709961,0.0534
100,4.233297484588623,0.05
