round,validation_loss,validation_accuracy
1,10.271914462280273,0.0144
2,14.396637780761719,0.0108
3,10.688879092407227,0.0094
4,6.721043251037598,0.0092
5,6.153266566467285,0.0092
6,5.685465660095215,0.0084
7,5.858539814758301,0.0092
8,5.265860336303711,0.0096
9,5.043220275878906,0.0104
10,4.984084349060058,0.01
11,5.107027643585205,0.009
12,4.822545307922363,0.0106
13,4.805481999206543,0.0122
14,4.72944416732788,0.0108
15,4.717608285522461,0.0092
16,4.755729665374756,0.0094
17,4.7109947105407715,0.0148
18,4.666581149291992,0.0128
19,4.7039846954345705,0.0108
20,4.656985725402832,0.0146
21,4.699018270874023,0.0142
22,4.675636477661133,0.0114
23,4.749001627349854,0.008
24,4.681021688842773,0.0118
25,4.703002164459228,0.008
26,4.737340958404541,0.0166
27,4.685664845275879,0.0152
28,4.683131375122071,0.0092
29,4.736478608703614,0.0076
30,4.702087259674072,0.0142
31,4.706193631744385,0.0126
32,4.680447578430176,0.0148
33,4.716559251403808,0.0122
34,4.676889222717286,0.0084
35,4.643548963928223,0.0176
36,4.641272985839843,0.0176
37,4.6443732025146485,0.01
38,4.658560621643066,0.0118
39,4.6310165466308595,0.0186
40,4.641347872924805,0.0216
41,4.635144245910644,0.0098
42,4.601842790222168,0.0244
43,4.629493147277832,0.0234
44,4.607551330566406,0.022
45,4.582988878631592,0.011
46,4.59564984664917,0.0194
47,4.55708824005127,0.0268
48,4.573753584289551,0.014
49,4.54657797088623,0.0194
50,4.5601125381469725,0.019
