round,validation_loss,validation_accuracy
1,16.937543914794922,0.0072
2,41.82752763671875,0.01
3,9.538748706054687,0.0108
4,7.421943020629882,0.0102
5,5.994074188232422,0.0104
6,5.926033880615234,0.0084
7,5.950025909423828,0.0106
8,5.191764042663574,0.011
9,5.299826119995117,0.0102
10,5.0399990234375,0.0092
11,5.299478322601319,0.0104
12,5.036208191680908,0.0094
13,5.021382752990722,0.01
14,4.835180569458008,0.0116
15,4.857897834014892,0.0106
16,4.7835244491577145,0.0128
17,4.744391891479492,0.008
18,4.740964933776856,0.0098
19,4.936043055725098,0.0116
20,4.731121583557129,0.0114
21,4.688760899353027,0.012
22,4.753004014587402,0.0096
23,4.712352018737793,0.0118
24,4.672268114471436,0.0148
25,4.771323141479492,0.0094
