round,validation_loss,validation_accuracy
1,9.89585917816162,0.0094
2,10.391355732727051,0.0102
3,10.627795587158204,0.008
4,8.459474073791505,0.01
5,7.297385740661621,0.01
6,6.271986309814453,0.0104
7,5.929846786499024,0.008
8,5.473388943481445,0.0096
9,5.254449560546875,0.011
10,5.1580676780700685,0.0112
11,5.158291390991211,0.0096
12,5.617963642883301,0.0106
13,5.611909230804443,0.0122
14,5.339408410644531,0.0124
15,5.108267053222656,0.01
16,5.334965636444092,0.0108
17,5.1067232948303225,0.0084
18,5.166073804473877,0.0098
19,5.1604527030944825,0.01
20,5.324046910095215,0.0076
21,5.249459104919434,0.011
22,5.051439931488037,0.011
23,5.10470648803711,0.0122
24,5.146795179748535,0.0106
25,5.08895810546875,0.0116
26,5.070880695343018,0.0106
27,5.0898929229736325,0.0088
28,5.02089737701416,0.0094
29,5.098626574707032,0.0092
30,5.054474926757813,0.0086
31,5.19970425491333,0.0116
32,5.05430499420166,0.01
33,4.985093753051758,0.01
34,5.042869075775147,0.0098
35,4.930907061004639,0.0102
36,5.142027922058105,0.0108
37,4.986740867614746,0.0094
38,4.8953080078125,0.0102
39,5.080665316772461,0.0098
40,4.9667448165893555,0.0102
41,4.966606935882568,0.011
42,4.884924197387695,0.0102
43,4.9435510726928715,0.0098
44,5.058932968139649,0.0098
45,5.0797002899169925,0.009
46,4.953692721557617,0.0076
47,5.0737896881103515,0.0094
48,4.928433430480957,0.0188
49,4.971385777282715,0.0106
50,4.958303743743897,0.012
