round,validation_loss,validation_accuracy
1,31.633186810302735,0.017
2,11.257788743591309,0.0098
3,45.62099471435547,0.0094
4,44.587741235351565,0.0098
5,74.02562341308594,0.0096
6,66.4084183227539,0.0094
7,122.30405756835937,0.0116
8,63.56875203857422,0.0128
9,85.50588791503907,0.0108
10,80.93185548095703,0.0098
11,92.08793441162109,0.0088
12,146.099630859375,0.01
13,122.01946672363282,0.01
14,144.71043076171875,0.0106
15,110.44092012939453,0.0098
16,100.33596730957031,0.0086
17,85.10263901367188,0.0082
18,54.62059877929688,0.009
19,89.31770701904297,0.0094
20,107.85345780029297,0.0098
21,85.43469326171875,0.0098
22,55.96935333251953,0.0118
23,70.86210755615234,0.0088
24,64.80885131835937,0.0106
25,49.94015425415039,0.0076
26,44.97235260620117,0.0114
27,35.56173009643555,0.0084
28,34.856426733398436,0.0106
29,33.15730687866211,0.0102
30,31.036621633911132,0.0096
31,28.075460675048827,0.0104
32,23.229123486328124,0.0132
33,17.976298583984374,0.0098
34,20.00132212524414,0.0126
35,15.498215103149414,0.0118
36,14.427819187927247,0.0176
37,15.4302220703125,0.008
38,21.649599249267578,0.0104
39,27.89722495727539,0.0088
40,14.910102474975586,0.0068
41,13.895702380371095,0.0116
42,20.780065881347657,0.0082
43,20.0641728515625,0.0092
44,14.99772356262207,0.0078
45,18.093916744995116,0.0118
46,14.387097705078125,0.0102
47,10.657093589782715,0.01
48,9.804855017089844,0.0094
49,15.080801309204102,0.0114
50,9.181972439575196,0.01
