round,validation_loss,validation_accuracy
1,39.90678585205078,0.01
2,22.84595542602539,0.0096
3,65.62316466674805,0.0094
4,102.79390228271484,0.013
5,133.17508074951172,0.0104
6,163.88218271484374,0.0098
7,178.1436662109375,0.01
8,204.64408935546874,0.0092
9,190.57918784179688,0.0108
10,164.15642963867188,0.0096
11,175.01576628417968,0.0098
12,142.52586896972656,0.0102
13,136.07966291503905,0.01
14,149.74414677734376,0.0106
15,104.87637292480468,0.0092
16,83.08071440429687,0.0092
17,57.558882531738284,0.01
18,40.806097894287106,0.0122
19,52.013436566162106,0.0098
20,72.97281043701172,0.0098
21,50.89571735229492,0.0102
22,35.9463021484375,0.0122
23,44.810841912841795,0.0098
24,118.9784595703125,0.0098
25,62.72079742431641,0.0102
