epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.001,4.31747125354343,0.06633333333333333,3.8383996810913086,0.1178,3.879286252593994,0.1098
2.0,0.001,3.646696160591973,0.14135555555555557,3.456858056259155,0.1744,3.5081064682006837,0.1613
3.0,0.001,3.3329692620171443,0.19457777777777777,3.1248342094421386,0.2314,3.188997243499756,0.2232
4.0,0.001,3.0942007876502142,0.23664444444444444,2.9802030197143554,0.2624,3.026524764251709,0.2522
5.0,0.001,2.9126621706644693,0.2720888888888889,2.8652535034179687,0.287,2.9189077312469482,0.2728
6.0,0.001,2.7488950544569226,0.3049777777777778,2.693948695373535,0.3162,2.7471298858642577,0.3075
7.0,0.001,2.5979169395870634,0.3333777777777778,2.6125862258911132,0.3388,2.6909521453857423,0.3153
8.0,0.001,2.465540871387058,0.3599777777777778,2.55617961769104,0.3474,2.6100758014678953,0.3423
9.0,0.001,2.328518551720513,0.38853333333333334,2.507224631500244,0.3618,2.549297150421143,0.3491
10.0,0.001,2.200292473856608,0.4174888888888889,2.467078508758545,0.3684,2.5108697662353516,0.3625
11.0,0.001,2.069941831970215,0.4438,2.4228123462677003,0.3832,2.4737014232635497,0.3681
12.0,0.001,1.9286869804382325,0.4734888888888889,2.4789335960388184,0.3774,2.480200958633423,0.3783
13.0,0.001,1.7954444153679743,0.5078666666666667,2.422324782562256,0.3906,2.4593559970855714,0.3883
14.0,0.001,1.6417289739608765,0.5401333333333334,2.4912315574646,0.3876,2.5056027839660646,0.3868
15.0,0.001,1.479239910062154,0.5800222222222222,2.541747937011719,0.3924,2.5993212970733643,0.3812
16.0,0.001,1.3203997650676302,0.6158,2.60767709274292,0.3906,2.6331407859802245,0.3816
17.0,0.001,1.1607250559488933,0.6561555555555556,2.8187333572387696,0.385,2.8220015502929687,0.3784
18.0,0.001,0.9929593575689528,0.7008,2.860899829864502,0.3858,2.8900161231994628,0.3853
19.0,0.001,0.8410868034044902,0.7386,3.0755588417053223,0.3818,3.109209761428833,0.3852
20.0,0.001,0.6941630551973978,0.7834,3.338282015991211,0.3732,3.3734662998199463,0.3705
21.0,0.001,0.5862172261238098,0.8130222222222222,3.4893354316711425,0.3792,3.471547885131836,0.3746
22.0,0.001,0.48513775056203207,0.8439555555555556,3.587094429779053,0.3798,3.5901333755493163,0.3747
23.0,0.001,0.4068974180751377,0.8672888888888889,3.7859447509765625,0.3708,3.8185774604797365,0.3736
24.0,0.001,0.3358743556141853,0.8905555555555555,3.8418364105224607,0.3794,3.9168495536804198,0.3772
25.0,0.001,0.2635606481194496,0.9130666666666667,4.149841909790039,0.3714,4.188896849060058,0.374
26.0,0.001,0.23202362189624046,0.9237333333333333,4.146932215881348,0.3812,4.13636262588501,0.3793
27.0,0.001,0.19149045424395136,0.9374888888888889,4.358954675292969,0.3786,4.34491981048584,0.3815
28.0,0.001,0.13145499308142397,0.9566,4.512214866638184,0.3884,4.515510359954834,0.3842
29.0,0.001,0.10037659492931432,0.9668,4.547623098754883,0.386,4.550469381713867,0.3857
