epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.001,4.277201741790772,0.07033333333333333,3.772556502532959,0.1274,3.794001884460449,0.1202
2.0,0.001,3.6042439424302843,0.14726666666666666,3.4635126266479492,0.1746,3.4647123523712158,0.1714
3.0,0.001,3.285590340508355,0.20233333333333334,3.17529262008667,0.2276,3.179711317062378,0.2235
4.0,0.001,3.0509966317918567,0.2447111111111111,3.0256874351501466,0.2558,3.0366551303863525,0.2473
5.0,0.001,2.8644002111646865,0.27744444444444444,2.843735558319092,0.2988,2.8539713932037354,0.2905
6.0,0.001,2.7082263660430907,0.31233333333333335,2.7724161460876466,0.3036,2.790495722961426,0.3025
7.0,0.001,2.557846251381768,0.3423333333333333,2.677295808792114,0.321,2.6801454216003417,0.3283
8.0,0.001,2.422725300725301,0.36924444444444443,2.641771997833252,0.3276,2.666230117034912,0.331
9.0,0.001,2.2990685305277507,0.39515555555555554,2.5680008655548097,0.347,2.573793402481079,0.3493
10.0,0.001,2.1582410893122357,0.4246888888888889,2.5330270469665526,0.3576,2.5373760581970215,0.359
11.0,0.001,2.0191798161400687,0.4553333333333333,2.5082825317382813,0.3684,2.5225018470764162,0.3682
12.0,0.001,1.8716115304311116,0.4874888888888889,2.5552770793914794,0.368,2.593255497741699,0.3614
13.0,0.001,1.7248279393090142,0.5227333333333334,2.5413408390045165,0.3758,2.5363629566192625,0.3806
14.0,0.001,1.5746185964796278,0.5539333333333334,2.6221083030700685,0.3696,2.601932663345337,0.3673
15.0,0.001,1.4041397428512574,0.5958,2.675927071762085,0.367,2.645975485229492,0.3809
16.0,0.001,1.2423554389741687,0.637,2.8181616298675536,0.3732,2.7894547121047975,0.3776
17.0,0.001,1.0770219815254212,0.6785777777777777,2.9020593788146973,0.3666,2.8666870616912843,0.3651
18.0,0.001,0.9016616777526008,0.7225777777777778,3.1264075843811034,0.3702,3.1090164220809937,0.3728
19.0,0.001,0.7778416023254394,0.7578888888888888,3.253197099304199,0.3668,3.2619474868774416,0.3731
20.0,0.001,0.6270515233039856,0.7989333333333334,3.4377987091064455,0.3708,3.4399822177886965,0.3657
21.0,0.001,0.5205348904556698,0.8316444444444444,3.741844467163086,0.3628,3.725402475357056,0.3658
