epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.01,7.1081238036261665,0.01071111111111111,4.642027481079102,0.0124,4.634447119140625,0.0129
2.0,0.009997532801828659,4.705107634226481,0.011733333333333333,4.676972476959229,0.0148,4.664898179626465,0.0144
3.0,0.00999013364214136,4.624383010864258,0.017155555555555556,4.594965409851074,0.0212,4.582241993713379,0.0219
4.0,0.009977809823015401,4.497476985507541,0.02617777777777778,4.506198198699951,0.0276,4.495373656463623,0.0266
5.0,0.009960573506572392,4.390279227871365,0.0378,4.440219667053222,0.028,4.427117852783203,0.0298
6.0,0.00993844170297569,4.298673648918999,0.04597777777777778,4.266667445373535,0.0496,4.2338093002319335,0.0525
7.0,0.009911436253643446,4.160464288796319,0.06222222222222222,4.103694300460815,0.0662,4.08551049118042,0.0705
