epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy
1.0,0.001,4.508784008153279,0.047466666666666664,4.026646741867065,0.0852,4.029740809631348,0.0824
2.0,0.001,3.836686771519979,0.11015555555555556,3.6680387504577636,0.1376,3.678305712890625,0.1338
3.0,0.001,3.533671347469754,0.15802222222222223,3.413375098800659,0.1746,3.4054090217590334,0.1869
4.0,0.001,3.280487775675456,0.20397777777777779,3.2033933483123778,0.2184,3.1975512813568114,0.2203
5.0,0.001,3.071521645439996,0.24026666666666666,3.048425768661499,0.2426,3.0549166957855225,0.2448
6.0,0.001,2.8952801044040255,0.27497777777777777,2.9405719032287596,0.265,2.9505067935943603,0.2735
7.0,0.001,2.754379386138916,0.3051111111111111,2.824149235534668,0.292,2.837441033935547,0.297
8.0,0.001,2.6286456853230793,0.3281777777777778,2.742958958816528,0.3054,2.7573452045440674,0.3087
9.0,0.001,2.503225339063009,0.3535333333333333,2.6422967147827148,0.324,2.6705498126983644,0.3266
10.0,0.001,2.3861244191063773,0.37806666666666666,2.610354944229126,0.3402,2.6205203491210938,0.3399
11.0,0.001,2.265657285287645,0.4039333333333333,2.562392177581787,0.346,2.563215271759033,0.3524
12.0,0.001,2.1373449631585015,0.43135555555555555,2.5714321632385255,0.344,2.5852177230834963,0.3455
13.0,0.001,2.0176792211320667,0.4537555555555556,2.5349529048919677,0.3564,2.545822382354736,0.3581
14.0,0.001,1.8852874820285372,0.48695555555555553,2.510978813171387,0.3668,2.529512371444702,0.3748
15.0,0.001,1.7552817790137396,0.5146888888888889,2.519560994338989,0.372,2.5226225065231325,0.3764
16.0,0.001,1.6167042760637071,0.5501333333333334,2.522869298171997,0.3752,2.5431961589813232,0.3776
17.0,0.001,1.4744399443308511,0.5828222222222222,2.609876207733154,0.3686,2.626400210189819,0.3797
18.0,0.001,1.32646766649882,0.6147111111111111,2.8315077083587648,0.3634,2.824589031982422,0.3745
19.0,0.001,1.1906457031673856,0.6475777777777778,2.8046193344116213,0.3736,2.8222555213928224,0.3814
20.0,0.001,1.0510606997383964,0.6851333333333334,2.960622001647949,0.3802,2.9541896034240724,0.3799
21.0,0.001,0.9034771106614007,0.7259333333333333,3.1192000597000122,0.3652,3.1421374752044677,0.3677
22.0,0.001,0.7823802840126886,0.7558666666666667,3.1219106601715088,0.3788,3.1679648826599123,0.3781
23.0,0.001,0.6735081262111664,0.7878444444444445,3.3519284446716306,0.377,3.3158032897949217,0.3811
24.0,0.001,0.5721170212162866,0.8176444444444444,3.5363750862121583,0.3662,3.5449682392120363,0.3654
25.0,0.001,0.473631683554252,0.8457777777777777,3.7908884365081787,0.3602,3.8154394470214843,0.3615
26.0,0.001,0.3961386268456777,0.8695333333333334,3.7916686656951906,0.3748,3.8914108360290527,0.3717
27.0,0.001,0.33539159464438756,0.8909111111111111,3.941580026817322,0.376,3.9953245391845704,0.3713
28.0,0.001,0.27653492411110137,0.9084888888888889,4.19551244430542,0.3636,4.250703381347656,0.3643
29.0,0.001,0.23495125172138215,0.9227333333333333,4.21934476852417,0.367,4.23761222114563,0.3718
30.0,0.001,0.1796150714205371,0.9407555555555556,4.369472131347656,0.3796,4.4051446453094485,0.3775
31.0,0.001,0.1358995719075203,0.9553777777777778,4.559166506958007,0.3822,4.5501841400146485,0.3852
32.0,0.001,0.08513907104300128,0.9727777777777777,4.486449743652344,0.3826,4.495559207916259,0.3946
33.0,0.001,0.03877093689483073,0.9890666666666666,4.434619181251526,0.4026,4.515487436676025,0.3986
34.0,0.001,0.015793896275862224,0.9964222222222222,4.35066816368103,0.4124,4.393487228393555,0.4134
35.0,0.001,0.006648392112501379,0.9990444444444444,4.208895220184326,0.4258,4.249197055053711,0.4212
36.0,0.001,0.0047156490265702206,0.9992222222222222,4.150911600494385,0.4286,4.19690032157898,0.422
37.0,0.001,0.002827473491202626,0.9996444444444444,4.113419078063965,0.4248,4.151588333892822,0.424
38.0,0.001,0.002764844815991819,0.9996666666666667,4.060135845184326,0.4248,4.096361865234375,0.4273
39.0,0.001,0.002194033864575128,0.9997555555555555,3.9956246398925783,0.4308,4.042704871749878,0.4272
40.0,0.001,0.0019316983041250044,0.9998666666666667,3.95566555519104,0.4294,3.9943976371765135,0.4275
41.0,0.001,0.0020592179149182305,0.9998,3.8912904022216797,0.432,3.9376218852996825,0.431
42.0,0.001,0.0025755116410139532,0.9997333333333334,3.845199015045166,0.434,3.886663204574585,0.432
43.0,0.001,0.0021873256078196895,0.9998444444444444,3.79952261428833,0.4334,3.8468780517578125,0.4328
44.0,0.001,0.002074566847582658,0.9998444444444444,3.7739642936706543,0.4346,3.8096268238067625,0.4342
45.0,0.001,0.0022276098613730733,0.9998444444444444,3.7309071170806885,0.4356,3.7724811626434325,0.4341
46.0,0.001,0.0026831162866618897,0.9998,3.6850201541900636,0.4374,3.728438084793091,0.4358
47.0,0.001,0.002589885829285615,0.9998222222222222,3.658955586242676,0.437,3.6981498874664305,0.4367
48.0,0.001,0.002773956254704131,0.9997777777777778,3.623389109802246,0.437,3.6636903511047363,0.4366
49.0,0.001,0.0025260409615519975,0.9998666666666667,3.5889835723876953,0.4396,3.6342088676452637,0.439
50.0,0.001,0.003027845543747147,0.9998,3.5684654415130614,0.4374,3.6086939002990723,0.4407
51.0,0.001,0.0029904329168713756,0.9998,3.5392254810333252,0.4406,3.5786481674194337,0.4432
52.0,0.001,0.002882142385550671,0.9998666666666667,3.520387062072754,0.4416,3.5616665088653563,0.4423
53.0,0.001,0.0033886318365318907,0.9998,3.4978035411834716,0.4408,3.533834320449829,0.4415
54.0,0.001,0.0032290671995530524,0.9998444444444444,3.4778273113250733,0.4412,3.5176035636901855,0.4402
55.0,0.001,0.003416253096982837,0.9998222222222222,3.4551596363067625,0.4438,3.490903624725342,0.4439
56.0,0.001,0.0043457021044360266,0.9996,3.443206791305542,0.4422,3.4825379119873046,0.4402
57.0,0.001,0.009109224911654988,0.9985111111111111,3.49147168006897,0.4294,3.5304815799713136,0.4325
58.0,0.001,0.011008617220653428,0.9981333333333333,3.4776667922973634,0.4332,3.5115186164855956,0.4372
59.0,0.001,0.008163009402404229,0.9989333333333333,3.4150939033508303,0.4424,3.4620520362854004,0.443
60.0,0.001,0.0037587143714436226,0.9998222222222222,3.405384718322754,0.442,3.445151348876953,0.4433
61.0,0.001,0.003739773142731024,0.9998222222222222,3.379399507904053,0.4438,3.4239848072052004,0.4423
62.0,0.001,0.0038317092321399184,0.9998,3.3639052322387695,0.4432,3.4101433143615725,0.4459
63.0,0.001,0.004375798656957017,0.9997333333333334,3.379144033050537,0.4402,3.4119078372955323,0.4393
64.0,0.001,0.0042362724316202935,0.9997333333333334,3.34300100479126,0.4414,3.386426374053955,0.444
65.0,0.001,0.00411965201811658,0.9998222222222222,3.32711541595459,0.4412,3.3713951293945312,0.4441
66.0,0.001,0.003951877942267391,0.9998444444444444,3.322560981750488,0.4434,3.3620259689331053,0.4453
67.0,0.001,0.004157948793429468,0.9998222222222222,3.314383540344238,0.4436,3.3540256713867187,0.4472
68.0,0.001,0.004029542706658443,0.9998666666666667,3.3161598094940183,0.4438,3.3603920639038085,0.4455
69.0,0.001,0.004323251672585805,0.9998444444444444,3.320256687927246,0.444,3.352228897857666,0.4447
70.0,0.001,0.0058155937860409415,0.9996444444444444,3.29637890625,0.4438,3.3351748752593995,0.4449
71.0,0.001,0.16399599013212654,0.9501111111111111,3.4730370643615722,0.3634,3.49482935295105,0.3726
72.0,0.001,0.6344545519510905,0.7984,3.469072702026367,0.3652,3.471520386505127,0.3607
73.0,0.001,0.31804976218011644,0.8985555555555556,3.7007790718078613,0.3654,3.696844431304932,0.365
74.0,0.001,0.20242694397767386,0.9368222222222222,3.7934419178009033,0.3822,3.866549323272705,0.3796
75.0,0.001,0.06969039820631345,0.9825111111111111,3.6215932231903074,0.4016,3.6668117778778075,0.405
76.0,0.001,0.016754005719266003,0.9976222222222222,3.5042266342163084,0.4238,3.5734687576293944,0.4256
77.0,0.001,0.007093074578170975,0.9991555555555556,3.4571168949127196,0.4328,3.5194376903533935,0.4326
78.0,0.001,0.00400748671417435,0.9996,3.434533325767517,0.4346,3.5063783798217774,0.432
79.0,0.001,0.004444585379740844,0.9995555555555555,3.397810683631897,0.44,3.448591976928711,0.4356
80.0,0.001,0.0033689822031805912,0.9997777777777778,3.383448496246338,0.4372,3.4348151084899903,0.4375
81.0,0.001,0.002741759714856744,0.9998666666666667,3.3403787242889402,0.443,3.4010150241851806,0.4383
82.0,0.001,0.0031734646782692936,0.9998,3.3172948285102843,0.445,3.373975378036499,0.44
83.0,0.001,0.002869732908738984,0.9998666666666667,3.2931830028533935,0.4438,3.345187867355347,0.4408
84.0,0.001,0.0031882354281014868,0.9998222222222222,3.2745666496276855,0.4466,3.3220535705566405,0.4419
85.0,0.001,0.0033715920459065174,0.9998,3.2593112594604494,0.4462,3.3024536979675294,0.4434
86.0,0.001,0.0032981429393092792,0.9998222222222222,3.2344040660858155,0.4454,3.2795103393554688,0.4438
87.0,0.001,0.0033847673270851375,0.9998444444444444,3.223077978515625,0.4462,3.2642510848999025,0.4431
88.0,0.001,0.003555517011342777,0.9998,3.209135639190674,0.4464,3.2511696849822997,0.4446
89.0,0.001,0.0035467088899678654,0.9998222222222222,3.2040793977737425,0.4474,3.2505175495147705,0.4411
90.0,0.001,0.0038341529828806718,0.9998,3.1875831912994386,0.4474,3.222074942779541,0.447
91.0,0.001,0.0037584754650791486,0.9998222222222222,3.168557870674133,0.448,3.2076359188079833,0.4456
92.0,0.001,0.003927491812490754,0.9998444444444444,3.1761581090927122,0.4514,3.19742961769104,0.4488
93.0,0.001,0.004213881533758508,0.9998,3.1647543960571287,0.4464,3.1912593154907225,0.4488
94.0,0.001,0.00395505405449205,0.9998444444444444,3.1593584829330443,0.4452,3.181045539855957,0.4492
95.0,0.001,0.0053459452855918145,0.9996888888888888,3.1590735988616943,0.4486,3.183134910964966,0.4496
96.0,0.001,0.0041888619889815645,0.9998666666666667,3.1592097805023194,0.4482,3.1817759113311768,0.4468
97.0,0.001,0.005898067638940282,0.9996,3.203884881782532,0.433,3.214319730758667,0.4353
98.0,0.001,0.5431296711557442,0.8323555555555555,3.1947075119018553,0.371,3.2779954578399657,0.3749
99.0,0.001,0.5086888884491391,0.8392444444444445,3.3723630641937254,0.376,3.3788112060546873,0.387
100.0,0.001,0.2134625036875407,0.9367555555555556,3.411972555923462,0.389,3.393173701095581,0.3974
